Branch,Buggy Commit,Fixed Commit,Failing Test Cases,"Maven Java Compiler (pom.xml)",srcjavafolder,srctestfolder,binjavafolder,bintestfolder
Bug1,8115b6c08af5baa9c5bfd701e0ce3852b51beb69,1cbd2217dfaf8c973f2c3a0c5becf59cc15cd32c,org.apache.commons.lang3.builder.ToStringBuilderTest:org.apache.commons.lang3.reflect.MethodUtilsTest,1.7,/src/main/java/,/src/test/java/,/target/classes,/target/test-classes
Bug2,9282f72a78f30158babe33b440a674318f362377,eae4f07ea690db3a179e620561ac89aea5de8bcd,com.github.davidmoten.rx.jdbc.DatabaseViaDataSourceTest:com.github.davidmoten.rx.jdbc.DatabaseAsyncTest:com.github.davidmoten.rx.jdbc.DatabaseExampleTest:com.github.davidmoten.rx.jdbc.DatabaseSyncTest,1.7,/src/main/java/,/src/test/java/,/target/classes,/target/test-classes
Bug3,47a46bee88e2b0385d7400465a43476b426a20cc,00982b76564cfdfa5c26ddee7b850cf322f4c222,com.github.davidmoten.rx.jdbc.DatabaseExampleTest,1.7,/src/main/java/,/src/test/java/,/target/classes,/target/test-classes
Bug4,b4f3b5353e5a78b0272769014706c6ef492b191c,d030563b8e4193dc50d148c6e4652309f564558f,net.bytebuddy.description.type.TypeDescriptionArrayProjectionTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeTest:net.bytebuddy.description.type.TypeDescriptionGenericBuilderTest:net.bytebuddy.implementation.FixedValueTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultWithLazyResolutionTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultWithLazyResolutionTypeDescriptionTest:net.bytebuddy.pool.TypePoolLazyFacadeTypeDescriptionTest:net.bytebuddy.dynamic.loading.ClassInjectorUsingReflectionTest:net.bytebuddy.implementation.InvocationHandlerAdapterTest:net.bytebuddy.implementation.MethodDelegationOriginTest,,/byte-buddy-dep/src/main/java/,/byte-buddy-dep/src/test/java/,/byte-buddy-dep/target/classes,/byte-buddy-dep/target/test-classes
Bug5,e459ef2f7cb69b57b9f0916184c3a64654165a46,945566d55b0cf6486092dd48145a589faa97358e,net.bytebuddy.description.type.TypeDescriptionArrayProjectionTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolLazyFacadeTypeDescriptionTest:net.bytebuddy.implementation.InvocationHandlerAdapterTest:net.bytebuddy.implementation.MethodDelegationOriginTest,,/byte-buddy-dep/src/main/java/,/byte-buddy-dep/src/test/java/,/byte-buddy-dep/target/classes,/byte-buddy-dep/target/test-classes
Bug6,0cd7fd86255127b484d3282db58ea5c727b19d78,c4c432ed0c76ad2eb64421e1830e180d50e29fb5,net.bytebuddy.description.modifier.ModifierContributorTest:net.bytebuddy.description.type.TypeDescriptionArrayProjectionTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeTest:net.bytebuddy.description.type.TypeDescriptionGenericBuilderTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultWithLazyResolutionTypeDescriptionTest:net.bytebuddy.pool.TypePoolLazyFacadeTypeDescriptionTest:,,/byte-buddy-dep/src/main/java/,/byte-buddy-dep/src/test/java/,/byte-buddy-dep/target/classes,/byte-buddy-dep/target/test-classes
Bug7,49062e65f19f56161fc32a9b8698615eb2f7ece4,2e944bc57c50727fa910593b17f939b84933d930,net.bytebuddy.description.type.TypeDescriptionArrayProjectionTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeTest:net.bytebuddy.description.type.TypeDescriptionGenericBuilderTest:net.bytebuddy.implementation.bytecode.member.MethodInvocationOtherTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionSuperClassLoadingTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultWithLazyResolutionTypeDescriptionTest:net.bytebuddy.pool.TypePoolLazyFacadeTypeDescriptionTest,,/byte-buddy-dep/src/main/java/,/byte-buddy-dep/src/test/java/,/byte-buddy-dep/target/classes,/byte-buddy-dep/target/test-classes
Bug8,371a5d281485b21aa89ed9522770b8a5c5bab591,1952f0759ab9695d87b2e2d4fc6017caf4d4b63c,net.bytebuddy.agent.builder.AgentBuilderDescriptionStrategyTest:net.bytebuddy.description.type.TypeDescriptionArrayProjectionTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeTest:net.bytebuddy.description.type.TypeDescriptionGenericBuilderTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionSuperClassLoadingTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultWithLazyResolutionTypeDescriptionTest:net.bytebuddy.pool.TypePoolLazyFacadeTypeDescriptionTest,,/byte-buddy-dep/src/main/java/,/byte-buddy-dep/src/test/java/,/byte-buddy-dep/target/classes,/byte-buddy-dep/target/test-classes
Bug9,628c1aaf0c6470eb622a115abb0192e162054ef8,702b5a12e07b0e57294f49a2f8c5fa22bb59d9d3,net.bytebuddy.description.type.TypeDescriptionArrayProjectionTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeTest:net.bytebuddy.description.type.TypeDescriptionGenericBuilderTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolLazyFacadeTypeDescriptionTest:net.bytebuddy.dynamic.ClassFileLocatorForClassLoaderTest,,/byte-buddy-dep/src/main/java/,/byte-buddy-dep/src/test/java/,/byte-buddy-dep/target/classes,/byte-buddy-dep/target/test-classes
Bug10,42f0099acdbd26fb2f3da0717f410140f8f88ec9,a974628cb92e629d73da73edda28696c4c62e162,net.bytebuddy.description.type.TypeDescriptionArrayProjectionTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeTest:net.bytebuddy.description.type.TypeDescriptionForLoadedTypeWithEagerPropertiesTest:net.bytebuddy.description.type.TypeDescriptionGenericBuilderTest:net.bytebuddy.pool.TypePoolDefaultTypeDescriptionTest:net.bytebuddy.pool.TypePoolDefaultWithLazyResolutionTypeDescriptionTest:net.bytebuddy.pool.TypePoolLazyFacadeTypeDescriptionTest,,/byte-buddy-dep/src/main/java/,/byte-buddy-dep/src/test/java/,/byte-buddy-dep/target/classes,/byte-buddy-dep/target/test-classes
